-0.5300	-1.2700	-0.3780	1.4271
0.7400	0.9800	0.0940	1.2316
-0.3400	-0.9800	-0.9071	1.3780
-0.3900	0.8200	-0.6208	1.1000
-0.2600	-1.3500	-0.5020	1.4636
0.2600	1.1100	-0.7830	1.3830
-0.4300	-0.4500	-1.1248	1.2855
1.4600	-0.0700	-0.3065	1.4935
0.8800	0.9800	-0.5910	1.4436
0.0900	1.2100	-0.8558	1.4848
0.0700	-1.2300	-0.0375	1.2326
1.0200	1.0800	0.1610	1.4942
0.2400	-0.4300	-1.2602	1.3530
0.5900	0.1700	-0.9610	1.1404
0.7900	0.0800	-1.0500	1.3164
-0.5300	0.3600	-0.8270	1.0461
-0.5300	0.6500	-0.7719	1.1398
-0.1800	0.2100	-1.3984	1.4255
0.4200	-0.3200	-1.3105	1.4129
0.5100	0.7400	-1.1406	1.4521
0.1300	-1.3700	-0.7008	1.5443
0.9500	0.6700	-0.4660	1.2524
0.2800	-0.0200	-1.0900	1.1256
0.0600	0.9800	-0.8450	1.2954
0.0500	-0.0400	-1.0548	1.0567
0.1100	1.0900	-0.5599	1.2303
-0.8900	-0.2500	-0.7450	1.1873
-0.3500	0.4200	-1.3060	1.4158
-0.3400	-0.5600	-1.2749	1.4334
0.5100	0.7700	-0.9455	1.3218
0.9800	-0.7000	-0.8831	1.4934
1.3000	0.6400	-0.3080	1.4814
0.1800	-0.8700	-1.0456	1.3721
0.3700	-0.6300	-1.2140	1.4169
0.8100	0.4600	-0.4117	1.0184
-0.3800	0.4300	-0.9790	1.1348
-0.8400	0.4600	-0.9280	1.3336
0.8000	0.1400	-1.1165	1.3806
0.5900	-0.2400	-0.8840	1.0896
1.3900	0.0900	-0.2812	1.4210
0.1200	0.4700	-1.3180	1.4044
1.1300	-0.0500	-0.7980	1.3843
-1.1900	0.3200	-0.7950	1.4665
1.0000	-0.0900	-0.6520	1.1972
-0.0600	0.0500	-0.9935	0.9966
0.7900	0.2400	-1.0685	1.3503
-0.4100	0.7600	-1.1830	1.4646
0.8900	-0.1500	-0.6120	1.0905
0.3700	0.2900	-1.1422	1.2352
1.1500	-0.0400	0.1610	1.1619
0.1600	0.8600	-0.8720	1.2351
1.3000	-0.1100	-0.1061	1.3090
0.6800	0.5900	-0.5570	1.0587
0.7900	-0.4200	-0.9368	1.2954
0.7400	0.0200	-0.7706	1.0686
-0.0900	-0.0900	-1.4376	1.4432
-0.1700	1.1000	-0.3500	1.1668
0.8400	-1.0600	0.2010	1.3673
0.6300	-0.6700	-0.6080	1.1025
1.0700	0.5300	-0.1400	1.2022
1.4200	-0.2700	0.1640	1.4547
0.6900	-0.3200	-0.9329	1.2037
0.7600	-0.0700	-0.8050	1.1093
0.0800	-0.0800	-1.1670	1.1725
-0.1500	-0.4500	-1.2450	1.3323
1.2800	-0.3000	0.2830	1.3448
1.0600	0.6000	0.1560	1.2280
-0.1800	-0.2100	-1.1588	1.1914
1.1200	-0.2300	0.2190	1.1642
1.2100	-0.4600	-0.4570	1.3728
0.8400	-1.1100	-0.3140	1.4270
0.6100	0.6600	-0.8740	1.2536
0.6900	-0.4100	-0.8940	1.2014
0.6100	-0.9000	-0.9052	1.4147
0.7400	0.5800	-1.0296	1.3943
1.0200	0.1400	-0.5650	1.1744
0.1100	-0.6600	-1.0780	1.2688
1.3100	0.1600	-0.3630	1.3687
-1.0000	-0.0300	-0.8840	1.3350
-0.3500	-0.2900	-1.0833	1.1748
0.4000	0.0600	-1.0203	1.0975
1.1900	-0.4700	-0.2730	1.3083
-0.1800	-0.6000	-0.8890	1.0875
0.4800	0.3000	-1.1265	1.2607
1.1100	0.3000	-0.9820	1.5121
0.9700	0.8600	-0.2570	1.3216
0.7300	0.3600	-0.7960	1.1385
-0.2300	0.6500	-0.9850	1.2023
0.6100	-0.1300	-1.2225	1.3724
1.0000	0.8100	-0.6630	1.4476
-0.1600	0.6400	-1.2360	1.4010
0.0600	-0.7300	-1.0960	1.3182
0.6000	0.5600	-1.1770	1.4349
0.9600	-0.0600	-0.8240	1.2666
0.4600	-1.2300	0.1577	1.3226
0.2400	-1.3200	-0.3510	1.3868
1.3800	0.3800	-0.2598	1.4547
0.9500	0.1900	-0.7340	1.2155
0.7500	-0.8400	-0.4901	1.2281
0.6500	-0.0800	-1.0534	1.2404
0.6000	0.4900	-0.7690	1.0915
0.7000	0.0600	-1.1270	1.3281
0.3800	-0.9100	-0.9350	1.3589
0.8100	0.0900	-1.1148	1.3809
0.6600	0.4300	-0.7100	1.0605
0.7600	0.8000	-0.3780	1.1664
0.9900	0.2200	-1.1029	1.4983
-0.2500	0.2000	-1.3880	1.4244
0.4200	1.0000	-0.8064	1.3515
0.7100	-0.1900	-0.8320	1.1101
0.7900	-0.4300	-0.6430	1.1056
0.3300	-0.1400	-1.3060	1.3543
0.0600	1.0400	-0.2030	1.0613
0.8500	0.2100	-0.9680	1.3052
0.6900	-0.5200	-1.1001	1.3988
0.5600	-0.3600	-0.8960	1.1163
-0.4200	0.9800	-0.3450	1.1206
0.8700	-0.1100	-0.9440	1.2885
0.7400	-0.4000	-0.8280	1.1803
0.9100	-0.4300	-0.8870	1.3416
0.5100	0.3700	-0.7900	1.0105
0.9300	0.8500	-0.3300	1.3024
1.0500	0.2700	-0.6540	1.2661
-0.1600	-0.0100	-1.2967	1.3066
0.5260	-0.8300	-0.5560	1.1290
1.0600	0.1500	-0.2090	1.0908
0.1000	-0.8700	-1.1170	1.4194
0.5600	0.2500	-1.3200	1.4555
0.0800	-0.4300	-1.3424	1.4119
-0.1000	0.8500	-1.0590	1.3616
0.8300	0.9100	-0.7940	1.4654
0.8300	0.1800	-0.5000	0.9855
0.0000	0.5900	-1.0977	1.2462
