# frame  R_idx  L_idx   Re    Re2
45 26 27 16.056304 257.804884
45 28 29 16.445372 270.450254
46 2 3 16.019932 256.638225
46 4 7 15.646114 244.800876
46 8 9 16.383988 268.435058
46 10 11 15.424033 237.900785
46 12 13 16.310193 266.022409
46 16 17 15.854849 251.376244
46 18 19 16.029641 256.949397
46 20 21 16.281191 265.077173
46 26 27 16.075600 258.424925
46 28 29 16.060432 257.937460
47 2 3 16.532150 273.311969
47 4 7 15.676838 245.763236
47 8 9 16.966258 287.853921
47 10 11 15.755140 248.224445
47 12 13 15.456132 238.892001
47 16 17 16.388592 268.585956
47 18 19 15.511975 240.621381
47 20 21 16.078234 258.509617
47 26 27 15.684886 246.015656
47 28 29 15.460714 239.033689
48 2 3 15.551392 241.845789
48 4 7 15.465274 239.174700
48 8 9 15.824013 250.399382
48 10 11 15.886089 252.367837
48 12 13 16.110047 259.533624
48 16 17 16.432928 270.041136
48 18 19 15.940257 254.091801
48 20 21 16.016582 256.530889
48 26 27 15.892485 252.571069
48 28 29 16.092885 258.980945
49 2 3 15.617164 243.895825
49 4 7 15.948742 254.362356
49 8 9 15.850378 251.234468
49 10 11 15.816076 250.148245
49 12 13 16.235145 263.579921
49 16 17 15.671138 245.584556
49 18 19 15.991104 255.715400
49 20 21 15.845479 251.079189
49 26 27 15.574525 242.565844
49 28 29 16.332550 266.752201
50 2 3 16.098495 259.161556
50 4 7 16.468982 271.227361
50 8 9 16.316661 266.233414
50 10 11 15.681116 245.897394
50 12 13 16.458707 270.889025
50 16 17 15.959602 254.708900
50 18 19 15.803342 249.745613
50 20 21 15.832465 250.666954
50 26 27 16.257966 264.321464
50 28 29 16.239099 263.708349
51 2 3 15.683175 245.961964
51 4 7 15.616165 243.864609
51 8 9 16.665411 277.735925
51 10 11 16.201906 262.501757
51 12 13 16.033317 257.067269
51 16 17 16.162707 261.233096
51 18 19 15.850618 251.242100
51 20 21 16.175123 261.634600
51 26 27 15.780262 249.016681
51 28 29 16.057640 257.847813
52 2 3 15.941113 254.119089
52 4 7 16.639642 276.877700
52 8 9 15.799201 249.614737
52 10 11 16.005695 256.182269
52 12 13 15.756517 248.267816
52 16 17 16.022577 256.722984
52 18 19 15.792979 249.418170
52 20 21 16.014570 256.466452
52 26 27 15.705344 246.657816
52 28 29 15.887968 252.427524
53 2 3 15.609693 243.662525
53 4 7 16.175838 261.657725
53 8 9 16.453989 270.733753
53 10 11 15.847698 251.149518
53 12 13 15.928868 253.728844
53 16 17 16.227850 263.343124
53 18 19 15.964923 254.878760
53 20 21 15.790832 249.350388
53 26 27 16.465634 271.117096
53 28 29 16.225776 263.275818
54 2 3 15.408199 237.412600
54 4 7 15.619775 243.977369
54 8 9 15.887962 252.427341
54 10 11 15.605351 243.526965
54 12 13 16.220640 263.109161
54 16 17 16.287567 265.284844
54 18 19 15.917626 253.370829
54 20 21 15.910357 253.139465
54 26 27 15.891216 252.530736
54 28 29 16.015895 256.508897
55 2 3 15.857581 251.462884
55 4 7 16.252814 264.153969
55 8 9 15.638562 244.564633
55 10 11 15.794647 249.470860
55 12 13 15.442805 238.480241
55 16 17 16.052203 257.673236
55 18 19 15.547163 241.714265
55 20 21 16.120909 259.883722
55 26 27 15.908076 253.066889
55 28 29 15.915869 253.314900
56 2 3 15.715717 246.983761
56 4 7 16.666886 277.785104
56 8 9 16.179922 261.789881
56 10 11 15.895304 252.660678
56 12 13 16.021281 256.681449
56 16 17 16.155907 261.013329
56 18 19 15.539299 241.469818
56 20 21 16.763393 281.011334
56 26 27 15.763470 248.486989
56 28 29 15.852148 251.290590
57 2 3 16.098653 259.166625
57 4 7 15.688272 246.121876
57 8 9 15.525974 241.055862
57 10 11 15.822950 250.365734
57 12 13 15.290235 233.791289
57 16 17 15.813929 250.080344
57 18 19 16.119590 259.841172
57 20 21 16.724674 279.714718
57 26 27 15.731322 247.474500
57 28 29 15.889241 252.467978
58 2 3 16.198886 262.403921
58 4 7 15.368511 236.191124
58 8 9 16.044508 257.426242
58 10 11 16.064585 258.070882
58 12 13 15.364480 236.067256
58 16 17 16.304961 265.851764
58 18 19 15.899353 252.789441
58 20 21 16.013545 256.433625
58 26 27 16.509360 272.558964
58 28 29 16.079477 258.549578
59 2 3 15.722796 247.206329
59 4 7 16.050824 257.628936
59 8 9 15.806650 249.850185
59 10 11 15.757377 248.294921
59 12 13 16.019886 256.636736
59 16 17 15.711191 246.841529
59 18 19 15.800204 249.646457
59 20 21 16.499612 272.237192
59 26 27 16.310010 266.016425
59 28 29 15.936896 253.984650
60 2 3 15.900511 252.826261
60 4 7 16.231975 263.477000
60 8 9 15.974977 255.199896
60 10 11 15.880952 252.204644
60 12 13 16.137537 260.420116
60 16 17 15.818773 250.233581
60 18 19 16.354273 267.462245
60 20 21 16.029621 256.948749
60 26 27 15.748803 248.024789
60 28 29 16.637510 276.806750
61 2 3 15.920934 253.476136
61 4 7 16.064017 258.052641
61 8 9 16.050106 257.605905
61 10 11 16.193934 262.243500
61 12 13 16.127939 260.110429
61 16 17 15.919736 253.438004
61 18 19 16.340304 267.005549
61 20 21 16.001706 256.054608
61 26 27 15.653770 245.040504
61 28 29 16.099765 259.202426
62 2 3 15.900821 252.836100
62 4 7 15.986603 255.571464
62 8 9 16.090813 258.914269
62 10 11 15.394267 236.983446
62 12 13 15.541740 241.545681
62 16 17 15.592042 243.111789
62 18 19 16.315259 266.187690
62 20 21 16.328666 266.625324
62 26 27 15.485502 239.800785
62 28 29 16.164964 261.306056
63 2 3 16.479393 271.570400
63 4 7 16.325981 266.537641
63 8 9 15.704223 246.622613
63 10 11 16.035100 257.124429
63 12 13 15.240715 232.279400
63 16 17 16.048186 257.544264
63 18 19 16.320961 266.373784
63 26 27 16.124299 259.993030
63 28 29 15.982226 255.431545
64 2 3 16.121246 259.894584
64 4 7 16.017026 256.545125
64 8 9 16.140035 260.500744
64 10 11 16.245151 263.904921
64 12 13 16.256035 264.258689
64 16 17 15.590293 243.057225
64 18 19 16.016492 256.528025
64 20 21 15.620572 244.002281
64 26 27 16.377145 268.210862
64 28 29 16.135474 260.353514
65 2 3 16.075703 258.428236
65 4 7 16.044251 257.417976
65 8 9 15.623767 244.102104
65 10 11 16.283838 265.163393
65 12 13 16.155350 260.995336
65 16 17 16.081562 258.616629
65 18 19 15.825783 250.455417
65 20 21 16.495404 272.098350
65 26 27 16.068052 258.182306
65 28 29 16.186179 261.992402
66 2 3 16.689164 278.528184
66 4 7 15.346255 235.507541
66 8 9 16.074111 258.377029
66 10 11 16.178980 261.759386
66 12 13 16.223564 263.204036
66 16 17 16.460350 270.943109
66 18 19 16.027278 256.873650
66 20 21 16.628204 276.497165
66 26 27 16.258645 264.343553
66 28 29 15.552950 241.894250
67 2 3 15.956703 254.616356
67 4 7 15.683929 245.985644
67 8 9 16.319150 266.314641
67 10 11 15.767722 248.621066
67 12 13 15.938699 254.042136
67 16 17 15.943932 254.208969
67 18 19 16.069839 258.239729
67 20 21 16.416329 269.495874
67 26 27 16.021449 256.686829
67 28 29 16.674919 278.052930
68 2 3 16.631023 276.590924
68 8 9 16.074865 258.401300
68 10 11 15.631303 244.337625
68 12 13 16.143132 260.600696
68 16 17 15.766508 248.582781
68 18 19 15.580997 242.767458
68 20 21 16.169936 261.466829
68 26 27 16.008801 256.281725
68 28 29 15.909140 253.100722
69 2 3 16.197209 262.349589
69 8 9 15.883660 252.290664
69 10 11 15.759763 248.370133
69 12 13 15.929091 253.735949
69 16 17 15.924690 253.595736
69 18 19 15.149656 229.512065
69 20 21 15.965379 254.893322
69 26 27 16.023904 256.765493
69 28 29 16.037591 257.204340
70 2 3 16.117699 259.780221
70 8 9 16.260397 264.400521
70 10 11 16.441545 270.324397
70 12 13 16.159241 261.121064
70 18 19 16.372029 268.043338
70 20 21 15.772182 248.761733
70 26 27 16.099585 259.196625
70 28 29 16.269718 264.703725
71 2 3 16.128550 260.130124
71 8 9 15.791109 249.359125
71 10 11 15.538193 241.435433
71 18 19 16.329939 266.666909
71 20 21 15.653076 245.018784
71 26 27 15.649558 244.908650
71 28 29 16.331460 266.716589
72 2 3 16.525723 273.099525
72 8 9 16.080742 258.590270
72 10 11 15.405027 237.314861
72 18 19 16.144031 260.629736
72 20 21 16.176437 261.677108
72 26 27 16.161652 261.199001
72 28 29 15.822813 250.361400
73 2 3 15.578489 242.689325
73 8 9 15.483074 239.725581
73 10 11 16.205643 262.622852
73 18 19 15.608955 243.639465
73 20 21 15.996636 255.892364
73 26 27 15.326501 234.901625
73 28 29 16.331723 266.725189
74 2 3 15.808263 249.901169
74 8 9 16.314338 266.157609
74 10 11 16.315834 266.206454
74 12 13 15.744543 247.890641
74 18 19 16.249357 264.041600
74 20 21 16.233437 263.524481
74 26 27 15.931727 253.819922
74 28 29 15.918288 253.391894
75 2 3 15.960053 254.723304
75 8 9 15.828179 250.531238
75 10 11 15.707575 246.727909
75 12 13 15.710274 246.812709
75 18 19 15.636981 244.515174
75 20 21 16.408948 269.253569
75 26 27 15.599285 243.337697
75 28 29 16.006765 256.216520
76 2 3 15.994104 255.811349
76 8 9 15.606353 243.558264
76 10 11 16.217439 263.005326
76 12 13 16.226522 263.300025
76 18 19 15.917008 253.351157
76 20 21 15.849943 251.220704
76 26 27 15.481604 239.680050
76 28 29 15.826742 250.485761
77 2 3 16.000360 256.011509
77 8 9 16.082236 258.638324
77 10 11 15.643206 244.709905
77 12 13 16.291213 265.403624
77 18 19 16.129094 260.147669
77 20 21 16.043198 257.384196
77 26 27 15.988842 255.643076
77 28 29 15.421160 237.812190
78 2 3 15.963354 254.828684
78 8 9 16.098303 259.155354
78 10 11 15.610857 243.698841
78 12 13 16.201560 262.490536
78 20 21 15.896428 252.696429
78 26 27 16.521996 272.976366
78 28 29 16.247857 263.992869
79 2 3 16.027040 256.865996
79 8 9 16.309958 266.014725
79 10 11 16.516712 272.801765
79 12 13 16.105780 259.396136
79 16 17 15.664121 245.364684
79 20 21 16.139642 260.488049
79 26 27 16.164927 261.304857
79 28 29 15.607683 243.599781
80 2 3 16.156957 261.047269
80 8 9 15.913585 253.242180
80 10 11 16.302885 265.784058
80 12 13 15.931202 253.803189
80 16 17 15.829999 250.588869
80 20 21 15.873366 251.963749
80 26 27 16.082375 258.642776
80 28 29 15.398425 237.111492
81 2 3 16.016608 256.531736
81 8 9 15.697134 246.400013
81 10 11 16.245419 263.913641
81 12 13 16.236298 263.617381
81 16 17 15.524308 241.004136
81 20 21 16.358107 267.587649
81 26 27 16.562514 274.316857
81 28 29 15.555078 241.960465
82 2 3 16.183554 261.907404
82 8 9 16.112853 259.624022
82 10 11 16.298040 265.626094
82 12 13 16.210526 262.781144
82 16 17 16.580835 274.924096
82 20 21 16.388394 268.579444
82 26 27 16.395464 268.811254
82 28 29 15.626310 244.181561
83 2 3 16.001292 256.041344
83 8 9 15.981092 255.395297
83 10 11 16.095225 259.056281
83 12 13 16.185606 261.973841
83 16 17 16.099809 259.203861
83 20 21 15.744765 247.897638
83 26 27 16.367564 267.897140
83 28 29 15.941886 254.143741
84 2 3 16.023967 256.767525
84 8 9 15.506220 240.442845
84 10 11 15.958930 254.687444
84 12 13 16.103899 259.335569
84 16 17 15.782369 249.083156
84 20 21 16.242768 263.827525
84 26 27 16.208411 262.712585
84 28 29 16.214135 262.898181
85 2 3 16.384515 268.452329
85 8 9 16.001224 256.039185
85 10 11 16.196294 262.319953
85 12 13 16.593071 275.330000
85 16 17 16.276232 264.915725
85 20 21 16.014674 256.469789
85 26 27 15.609468 243.655481
85 28 29 15.513720 240.675504
86 2 3 15.890272 252.500741
86 8 9 15.780385 249.020566
86 10 11 16.236845 263.635133
86 12 13 15.606779 243.571561
86 16 17 16.015908 256.509316
86 20 21 16.289644 265.352493
86 26 27 15.722942 247.210913
86 28 29 15.040831 226.226606
87 2 3 16.209149 262.736525
87 8 9 16.006784 256.217128
87 10 11 15.861486 251.586733
87 12 13 16.094153 259.021769
87 16 17 15.880826 252.200625
87 20 21 15.859877 251.535701
87 26 27 15.763399 248.484757
87 28 29 16.001291 256.041305
88 2 3 15.261405 232.910484
88 8 9 15.949324 254.380940
88 10 11 16.386979 268.533080
88 12 13 16.112918 259.626125
