# frame	protein_index	rx	ry	rz	r
10	20	0.130000	2.660000	-6.732900	7.240473
10	22	3.710000	3.580000	-3.139000	6.036043
10	28	2.236300	-1.450000	-5.307000	5.938669
10	1	0.470000	-3.950000	-5.687200	6.940291
10	3	3.920000	4.415000	-3.191000	6.711267
10	5	3.000600	-4.280000	-3.906000	6.525246
10	11	-2.660000	2.470000	-6.031000	7.039138
10	13	-0.150000	3.470000	-6.418000	7.297542
10	15	1.170000	-0.200000	-6.894000	6.995437
10	17	-3.250000	1.020000	-5.241000	6.250678
10	21	-3.660000	4.110000	-4.006100	6.807095
10	23	0.600000	-2.230000	-6.789000	7.171013
10	27	-1.960000	1.954390	-6.415700	6.987306
10	29	3.120000	3.700000	-5.015000	6.969550
11	0	-0.620000	-1.970000	-6.094000	6.434449
11	2	3.384000	-0.680000	-6.025000	6.943665
11	4	1.790000	-3.210000	-5.400100	6.532173
11	6	3.670000	-3.520000	-2.624700	5.722617
11	8	3.330000	-2.670000	-3.933000	5.803989
11	12	1.520000	-3.310000	-5.553000	6.640957
11	14	2.640000	-1.310000	-6.785000	7.397427
11	18	2.780000	-2.181000	-5.034200	6.150474
11	20	-1.580000	-2.770000	-6.262700	7.027853
11	22	4.820000	-0.690000	-3.142000	5.794883
11	28	3.177900	-3.283000	-5.509000	7.157249
11	1	4.400000	-2.140000	-1.541000	5.129745
11	3	0.760000	-1.991000	-6.868000	7.191043
11	5	4.688000	-1.620000	-4.627000	6.783132
11	11	2.540000	-2.360000	-5.111000	6.176044
11	13	0.580000	4.320000	-3.929000	5.868206
11	15	-3.680000	-0.580000	-5.914000	6.989578
11	17	-4.120000	-3.630000	-2.746000	6.139366
11	21	-0.070000	0.910000	-6.813000	6.873861
11	23	-3.060000	-4.330000	-3.374000	6.284614
11	27	-3.890000	-0.663000	-6.145000	7.302924
11	29	-0.260000	1.390000	-6.800600	6.946068
12	0	3.250000	-2.690000	-4.429000	6.116751
12	2	0.240000	5.760000	-1.582000	5.978120
12	4	-1.900000	-0.870000	-6.983100	7.289073
12	6	3.950000	-0.340000	-3.862000	5.534722
12	8	2.010000	0.140000	-6.879900	7.168872
12	12	0.610000	2.280000	-6.066000	6.508983
12	14	4.450000	0.440000	-4.650700	6.451753
12	18	-2.820000	2.092300	-4.738500	5.897754
12	20	-5.120000	2.470000	-3.632000	6.745867
12	22	-2.870000	0.580000	-5.664000	6.376064
12	28	3.101000	1.001000	-5.705000	6.570025
12	1	3.430000	1.560000	-5.650000	6.791244
12	3	3.160000	2.060000	-4.747700	6.063815
12	5	0.342000	-2.080000	-6.666000	6.991346
12	11	4.340000	1.270000	-5.641000	7.229757
12	13	-2.330000	-2.100000	-5.066900	5.959226
12	15	-1.440000	-1.850000	-6.905000	7.292128
12	17	2.160000	5.830000	-0.507000	6.237912
12	21	3.730000	-0.990000	-3.929900	5.507914
12	23	2.300000	-0.680000	-6.757800	7.170792
12	27	-0.970000	3.685290	-5.777300	6.920943
12	29	-2.900000	1.620000	-6.272200	7.097527
13	0	3.250000	-0.980000	-6.350000	7.200375
13	2	1.481000	2.070000	-5.524000	6.082174
13	4	-3.490000	-0.860000	-5.960000	6.959978
13	6	-2.810000	0.180000	-6.767000	7.329447
13	8	-1.550000	0.950000	-6.315000	6.571471
13	12	-0.840000	2.500000	-5.768000	6.342352
13	14	1.930000	-4.330000	-4.844830	6.778361
13	18	4.810000	-0.813300	-3.857000	6.218843
13	20	-0.830000	-0.200000	-6.125000	6.184216
13	22	3.570000	1.490000	-5.580000	6.789801
13	28	0.595000	4.012000	-5.788000	7.067610
13	1	-4.710000	0.840000	-4.762263	6.750470
13	3	2.420000	-4.337000	-4.047000	6.406573
13	5	4.315000	-0.690000	-5.043900	6.673549
13	11	-3.570000	0.360000	-5.464000	6.536803
13	13	2.860000	-5.080000	-3.497000	6.798162
13	15	-2.110000	-0.900000	-6.625200	7.011089
13	17	-0.440000	1.160000	-6.758000	6.870936
13	21	0.020000	1.320000	-7.116000	7.237421
13	23	5.360000	-0.740000	-3.787000	6.604436
13	27	-4.130000	1.264000	-5.670700	7.128214
13	29	2.930000	-1.880000	-5.655000	6.640657
14	0	1.500000	1.150000	-6.899000	7.153230
14	2	3.848000	0.850000	-5.287900	6.594808
14	4	5.540000	-2.160000	-4.231000	7.297846
14	6	-0.130000	-0.270000	-7.264000	7.270179
14	8	-2.990000	5.150000	-3.943000	7.142118
14	12	-3.780000	-3.160000	-4.833000	6.901586
14	14	3.430000	-0.520000	-5.096700	6.165359
14	18	4.510000	1.919000	-4.840400	6.888551
14	20	-4.570000	-1.880000	-3.437000	6.019325
14	22	-0.930000	0.610000	-6.912000	7.000910
14	24	-4.790000	2.230000	-2.025000	5.658412
14	28	2.341000	4.432000	-4.395520	6.666596
14	1	4.410000	-0.990000	-5.467000	7.093398
14	3	-0.990000	-2.844000	-5.699000	6.445699
14	5	-1.134400	0.950000	-7.027000	7.181093
14	11	-0.880000	3.400000	-5.528000	6.549289
14	13	-4.960000	-1.910000	-4.450000	6.931969
14	15	-5.360000	1.770000	-2.260000	6.080304
14	17	0.410000	-2.570000	-5.955000	6.498848
14	21	5.070000	-1.630000	-2.117000	5.730924
14	23	-0.230000	0.970000	-7.270500	7.338526
14	25	0.850000	-0.620000	-6.496900	6.581536
14	27	3.210000	3.750300	-4.101000	6.417714
14	29	3.800000	-1.690000	-5.189000	6.649949
15	0	-4.760000	4.100000	-1.111000	6.379806
15	2	3.283000	0.080000	-6.395100	7.189005
15	4	-0.780000	-4.960000	-4.828000	6.965600
15	6	0.580000	-2.980000	-6.253000	6.951029
15	8	-0.950000	3.850000	-5.029000	6.404361
15	12	-3.390000	-1.080000	-5.664000	6.688751
15	14	-1.620000	-3.620000	-5.278800	6.602615
15	18	5.160000	2.032000	-4.083000	6.886618
15	20	3.730000	2.930000	-4.308000	6.407547
15	22	-1.810000	0.320000	-6.995600	7.233044
15	24	2.070000	-1.690000	-6.410300	6.944994
15	28	-0.592000	0.538000	-7.063000	7.108156
15	1	-3.670000	-0.060000	-5.448500	6.569525
15	3	-3.660000	-0.863000	-5.331000	6.523797
15	5	0.520000	6.000000	-2.000000	6.345896
15	11	1.850000	1.880000	-6.508000	7.022177
15	13	-0.140000	2.660000	-5.742000	6.329752
15	15	3.530000	1.020000	-5.657000	6.745587
15	17	-0.210000	0.230000	-7.082000	7.088845
15	21	-0.170000	3.890000	-4.521800	5.967217
15	23	2.150000	-1.960000	-5.476000	6.200861
15	25	-3.090000	-2.680000	-5.860800	7.146991
15	27	3.250000	4.389900	-3.521000	6.498551
15	29	-2.130000	-4.340000	-3.701000	6.088506
16	0	-3.120000	-4.000000	-5.496000	7.479333
16	2	0.620000	4.490000	-5.408000	7.056271
16	4	-4.500000	2.020000	-4.038000	6.374625
16	6	-2.990000	3.700000	-4.821400	6.773182
16	8	-2.950000	-2.901000	-5.800100	7.124567
16	12	1.350000	1.010000	-6.895000	7.098142
16	14	-1.720000	1.400000	-6.189000	6.574353
16	18	-5.030000	-1.084000	-3.582000	6.269504
16	20	0.490000	-1.040000	-6.133100	6.239921
16	22	-1.390000	4.790000	-3.820000	6.282404
16	24	-0.360000	0.640000	-6.881000	6.920069
16	28	-3.386000	0.894000	-4.104600	5.395551
16	1	0.100000	1.690000	-7.082000	7.281540
16	3	1.640000	1.436600	-6.781000	7.122877
16	5	-0.778000	-0.130000	-6.987000	7.031383
16	11	3.000000	1.190000	-3.847000	5.021505
16	13	-0.410000	-4.810000	-4.511000	6.607066
16	15	-3.050000	4.210000	-5.033000	7.235861
16	17	-0.210000	0.590000	-6.911000	6.939317
16	21	-0.160000	4.310000	-4.905000	6.531518
16	23	0.130000	3.080000	-6.500500	7.194428
16	25	-1.210000	-3.370000	-6.108100	7.080246
16	27	2.370000	0.743000	-6.628000	7.078088
16	29	-0.510000	-0.770000	-6.725000	6.788124
17	0	1.300000	1.940000	-5.100000	5.609242
17	2	0.348000	-0.290000	-7.044300	7.058850
17	4	-1.870000	-3.510000	-3.497000	5.295848
17	6	-0.150000	2.130000	-6.407000	6.753447
17	8	-2.830000	-3.897000	-4.180000	6.377140
17	12	-2.450000	-0.150000	-4.877700	5.460491
17	14	3.830000	-4.130000	-2.655100	6.226986
17	18	3.300000	-0.842210	-5.423400	6.404107
17	20	-6.100000	2.000000	-2.912000	7.049095
17	22	1.410000	-2.420000	-6.582700	7.153771
17	24	4.850000	0.290000	-4.813000	6.838974
17	28	3.027000	2.188000	-6.114000	7.164570
17	1	-4.240000	0.190000	-5.359680	6.836656
17	3	3.490000	4.212990	-3.868000	6.700060
17	5	-3.793300	-1.080000	-3.847800	5.510090
17	11	3.760000	0.970000	-3.811000	5.440792
17	13	-3.450000	-0.900000	-6.181360	7.135945
17	15	-2.350000	0.650000	-5.305000	5.838495
17	17	1.660000	-3.080000	-5.153000	6.228596
17	21	-1.650000	-0.180000	-6.383800	6.596044
17	23	-0.660000	-2.870000	-6.835500	7.442887
17	25	0.860000	-1.450000	-6.662700	6.872676
17	27	-1.070000	0.954000	-6.466000	6.623003
17	29	-1.590000	-3.650000	-5.576700	6.852020
18	0	3.890000	-1.480000	-5.607000	6.982904
18	2	4.019000	-2.910000	-3.995000	6.370281
18	4	-2.560000	-0.840000	-5.973000	6.552551
18	6	-0.700000	4.790000	-3.598500	6.031857
18	8	-4.510000	0.780000	-4.019000	6.091048
18	12	2.310000	1.550000	-6.452000	7.026159
18	14	-1.200000	-2.160000	-6.691000	7.132677
18	18	1.610000	-0.977000	-7.054000	7.301065
18	20	-5.020000	0.030000	-4.297000	6.607988
18	22	2.570000	1.860000	-6.290000	7.044757
18	28	-1.489500	1.478000	-6.625000	6.949368
18	1	-3.760000	3.270000	-4.504500	6.717218
18	3	5.180000	2.223000	-4.622600	7.289894
18	5	-5.654500	1.930000	-2.946000	6.661620
18	11	-0.610000	-0.030000	-7.036000	7.062457
18	13	-5.540000	0.160000	-2.749000	6.186615
18	15	-1.310000	2.280000	-5.840000	6.404694
18	17	2.640000	-2.630000	-4.834000	6.103610
18	21	-0.540000	3.360000	-6.268100	7.132340
18	23	-0.730000	-2.870000	-6.834000	7.448044
18	27	-1.800000	4.282000	-4.509800	6.474088
18	29	-2.570000	4.020000	-5.220000	7.072036
19	0	-6.160000	-1.360000	-2.443000	6.764869
19	2	1.330000	1.420000	-6.545200	6.828246
19	4	-5.510000	0.700000	-2.312000	6.016265
19	6	-0.910000	-1.070000	-6.762000	6.906348
19	8	-2.100000	-4.229000	-3.362000	5.796334
19	12	-6.420000	1.990000	-1.695000	6.931776
19	14	-4.540000	-3.780000	-3.274000	6.754190
19	18	-0.190000	-2.280200	-6.645000	7.027904
19	20	2.170000	-1.830000	-6.698700	7.275327
19	22	-1.270000	-2.330000	-5.838000	6.412803
