# frame	R_proto	L_proto	RB_LB_dist
157	5	18	1.423306
157	6	7	1.467196
157	15	22	1.323749
158	4	11	1.238756
158	5	18	1.197142
158	6	7	1.400173
158	15	22	0.989611
159	4	11	1.075544
159	5	18	1.118752
159	6	7	1.236332
159	15	22	1.334720
160	4	11	1.410193
160	5	18	1.365483
160	6	7	1.407468
160	15	22	1.434901
161	4	11	1.279827
161	5	18	1.290289
161	6	7	1.184578
161	15	22	1.413750
162	4	11	1.327149
162	5	18	1.159761
162	6	7	1.439646
162	14	27	1.116326
162	15	22	1.065335
162	20	23	1.485741
163	4	11	1.315426
163	5	18	1.448388
163	6	7	1.195805
163	14	27	1.250238
163	15	22	1.238075
163	20	23	1.168952
164	4	11	1.355555
164	5	18	1.209904
164	6	7	1.403217
164	14	27	1.302309
164	15	22	1.057219
164	20	23	1.411457
165	4	11	1.249992
165	5	18	1.316617
165	6	7	1.416717
165	14	27	1.451905
165	15	22	1.383844
165	20	23	1.396983
166	4	11	1.079681
166	5	18	1.261985
166	6	7	1.526247
166	14	27	1.344061
166	15	22	1.140892
166	20	23	1.424251
167	4	11	1.315813
167	5	18	1.427963
167	14	27	1.330079
167	15	22	1.317179
167	20	23	1.333778
168	4	11	1.362883
168	5	18	1.322119
168	14	27	1.474315
168	15	22	1.240041
168	20	23	1.106277
169	4	11	1.024566
169	5	18	1.280735
169	14	27	1.167005
169	15	22	1.095327
169	20	23	1.362990
170	4	11	1.042774
170	5	18	1.177823
170	14	27	1.184087
170	15	22	1.105987
170	20	23	1.210798
171	4	11	1.280438
171	5	18	1.399736
171	14	27	1.335828
171	15	22	1.379399
171	20	23	1.355220
172	4	11	1.482714
172	5	18	1.161389
172	14	27	1.353043
172	15	22	119.434331
172	20	23	1.293445
173	1	12	1.040353
173	4	11	1.277232
173	5	18	1.304631
173	6	7	1.163346
173	14	27	1.204313
173	15	22	1.186405
173	20	23	1.152423
174	1	12	1.134048
174	4	11	1.162826
174	5	18	1.502642
174	6	7	1.044383
174	14	27	1.162461
174	15	22	1.348089
174	20	23	1.341730
175	1	12	1.127765
175	4	11	1.402584
175	5	18	1.098689
175	6	7	119.261779
175	14	27	1.114736
175	15	22	1.158941
175	20	23	1.116767
176	1	12	1.032727
176	4	11	1.440865
176	5	18	1.051472
176	6	7	119.114396
176	14	27	1.454015
176	15	22	1.286820
176	20	23	1.068523
177	1	12	1.178523
177	4	11	1.344464
177	5	18	1.439856
177	6	7	1.118837
177	14	27	1.338567
177	15	22	1.283417
177	20	23	1.168148
178	1	12	1.485268
178	4	11	1.393893
178	5	18	1.341525
178	6	7	1.516945
178	14	27	1.069150
178	15	22	1.342772
178	20	23	1.227689
179	1	12	1.067870
179	4	11	1.352834
179	5	18	1.515596
179	6	7	118.842529
179	14	27	1.411334
179	15	22	1.136034
180	1	12	1.444551
180	4	11	1.485971
180	5	18	1.202528
180	6	7	1.425927
180	14	27	1.052920
180	15	22	1.352898
181	1	12	1.361183
181	4	11	1.008514
181	5	18	1.321870
181	6	7	1.145230
181	14	27	1.095823
181	15	22	1.223173
182	1	12	1.473778
182	4	11	1.042147
182	5	18	1.112658
182	6	7	1.464110
182	14	27	1.181757
182	15	22	1.271831
183	1	12	1.384461
183	4	11	1.311466
183	5	18	1.279442
183	6	7	1.418449
183	14	27	1.445520
183	15	22	1.334204
184	1	12	1.487178
184	4	11	1.480959
184	5	18	1.273876
184	6	7	1.109442
184	14	27	1.361471
184	15	22	1.192485
185	1	12	1.291968
185	4	11	1.314595
185	5	18	1.317308
185	6	7	1.153256
185	14	27	1.220744
185	15	22	1.144387
186	1	12	1.172821
186	4	11	1.372366
186	5	18	1.213096
186	6	7	1.030214
186	14	27	1.163342
186	15	22	1.291343
187	1	12	1.068338
187	4	11	1.478010
187	5	18	1.039303
187	6	7	1.393745
187	14	27	1.457464
187	15	22	1.416336
188	1	12	1.279922
188	5	18	1.443628
188	6	7	1.206153
188	14	27	1.037877
188	15	22	1.012430
189	5	18	1.220046
189	6	7	1.137158
189	14	27	1.164045
189	15	22	1.149804
189	20	23	1.352862
190	5	18	1.349639
190	6	7	1.191041
190	14	27	1.100122
190	15	22	1.413061
190	20	23	1.409555
190	24	25	1.132446
191	5	18	1.044047
191	6	7	1.287389
191	14	27	1.457574
191	15	22	1.347486
191	20	23	119.535516
191	24	25	1.423753
192	1	12	1.213723
192	5	18	1.513272
192	6	7	1.153826
192	14	27	1.496693
192	15	22	1.317709
192	20	23	1.020788
192	24	25	1.122551
193	1	12	1.399311
193	5	18	1.405397
193	6	7	1.277544
193	14	27	1.453291
193	15	22	1.511124
