# frame	protein_index	rx	ry	rz	r
46	0	0.480000	-3.060000	-5.104000	5.970328
46	18	0.920000	4.650000	-3.740000	6.037922
46	24	-3.230000	-1.530000	-6.065600	7.040263
46	9	-1.280000	0.170000	-7.315000	7.428090
46	21	1.590000	-4.250000	-5.003000	6.754303
46	25	0.810000	-1.720000	-6.411800	6.687726
47	0	1.220000	-3.660000	-6.010000	7.141715
47	18	0.160000	5.800000	-3.938000	7.012378
47	24	-0.330000	-1.440000	-6.901000	7.057358
47	9	1.890000	0.040000	-6.073700	6.361095
47	21	-2.400000	-3.920000	-4.502300	6.434058
47	25	3.860000	-0.290000	-5.885100	7.044012
48	0	-3.180000	-3.190000	-5.474000	7.088947
48	18	-0.260000	5.200000	-4.131000	6.646259
48	24	-2.670000	1.430000	-6.210000	6.909262
48	9	0.320000	2.340000	-6.671000	7.076739
48	21	-0.880000	-4.350000	-4.413000	6.258711
48	25	1.280000	0.320000	-7.074700	7.196678
49	0	-0.600000	-0.290000	-6.890000	6.922153
49	18	0.420000	5.280000	-4.727400	7.099515
49	24	-3.090000	0.500000	-6.559500	7.268091
49	9	1.810000	4.130000	-5.445200	7.069880
49	21	0.310000	-6.180000	-2.979000	6.867528
49	25	-1.170000	-1.070000	-6.603100	6.790783
50	0	-1.490000	-3.540000	-5.542000	6.742808
50	18	-0.260000	5.990000	-3.885100	7.144348
50	24	-0.180000	-0.380000	-6.733200	6.746316
50	9	0.570000	2.950000	-6.546000	7.202605
50	21	2.350000	-4.940000	-4.249200	6.926890
50	25	0.720000	-0.550000	-6.869500	6.928992
51	0	-2.050000	-0.060000	-6.439000	6.757723
51	18	-0.020000	5.304000	-4.067000	6.683809
51	24	2.200000	-1.260000	-6.988100	7.433784
51	9	-0.250000	4.210000	-5.436500	6.880562
51	21	0.530000	-4.170000	-5.917000	7.258146
51	25	2.490000	1.130000	-6.636200	7.177475
52	0	0.150000	2.650000	-6.571000	7.086822
52	18	1.310000	4.600000	-4.794000	6.771893
52	24	-0.040000	1.100000	-7.315800	7.398144
52	9	0.130000	4.940000	-4.667100	6.797229
52	21	0.230000	-3.370000	-5.490000	6.445921
52	25	1.600000	-2.560000	-5.486300	6.262035
53	0	-3.550000	-0.580000	-5.584000	6.642285
53	18	-1.400000	5.060000	-3.190000	6.143265
53	24	0.800000	1.370000	-6.781500	6.964599
53	9	-1.090000	2.180000	-6.429000	6.875503
53	21	-1.610000	-2.630000	-5.784000	6.554667
53	25	-0.500000	-0.110000	-7.089400	7.107861
54	18	-1.580000	2.846000	-5.305000	6.224078
